CODICE UNIVOCO GIORNALISTA;NOME;COGNOME;NICKNAME
1;DAVIDE;FRATTINI;
2;GUIDO;OLIMPIO;
3;LUIGI;FERRARELLA;
4;MASSIMO;GRAMELLINI;
5;ELISABETTA;SOGLIO;
6;LORENZO;CREMONESI;
7;ALDO;CAZZULLO;
8;ERNESTO;GALLI DELLA LOGGIA;
9;PAOLO;VALENTINO;
10;DANILO;TAINO;
11;ALDO;GRASSO;
12;LUIGI;IPPOLITO;
13;MASSIMO;GAGGI;
14;MASSIMO;SIDERI;
15;FEDERICO;FUBINI;
16;ENRICO;MARRO;
17;ANTONIO;POLITO;
18;MARCO;IMARISIO;
19;FEDERICO;RAMPINI;
20;PAOLO;MEREGHETTI;
21;FRANCESCA;BASSO;
22;STEFANO;MONTEFIORI;
23;DARIO;DI VICO;
24;DACIA;MARAINI;
25;MASSIMO;FRACARO;
26;DANIELE;MANCA;
27;LUCIANO;FONTANA;
28;PAOLO;MIELI;
29;BEPPE;SEVERGNINI;
30;GIOVANNI;BIANCONI;
31;MASSIMO;FRANCO;
32;PAOLO;DI STEFANO;
33;FRANCESCO;VERDERAMI;
34;NICOLA;SALDUTTI;
35;PAOLO;LEPRI;
36;LUCA;MASTRANTONIO;
37;ROBERTO;SAVIANO;
38;BARBARA;STEFANELLI;
39;MASSIMO;NAVA;
40;ANGELO;PANEBIANCO;
41;MARIA TERESA;MELI;
42;ISABELLA;BOSSI FEDRIGOTTI;
43;ANTONIO;FERRARI;
44;ANDREA;RICCARDI;
45;FRANCESCO;GIAVAZZI;
46;FIORENZA;SARZANINI;
47;GOFFREDO;BUCCINI;
48;FRANCO;VENTURINI;
49;GIUSEPPE;SARCINA;
50;LUCREZIA;REICHLIN;
51;MARIO;SENSINI;
52;SABINO;CASSESE;
53;MAURIZIO;FERRERA;
54;VINCENZO;TRIONE;
55;MAURO;MAGATTI;
56;TOMMASO;PELLIZZARI;
57;ALESSANDRO;D'AVENIA;
58;PAOLO;FRANCHI;
59;ENZO;MOAVERO MILANESI;
60;VENANZIO;POSTIGLIONE;
61;CLAUDIO;MAGRIS;
62;MARCO;CASTELNUOVO;
63;SERGIO;ROMANO;
64;ANTONIO;SCURATI;
65;FERRUCCIO;DE BORTOLI;
66;GIOVANNI;BELARDELLI;
67;RICCARDO;GALLO;
68;;;
69;ADRIANO;ATTUS;
70;ANTONIO;LARIZZA;
71;CRISTIANA;LAURO;
72;DANIELE;BELLASIO;
73;EMANUELE;PORAZZI;
74;FLAVIA;LANDOLFI;
75;GIORGIA;COLUCCI;
76;MARIA LUISA ;COLLEDANI;
